2026-05-23 05:04:31.654 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  c.y.p.PaymentServiceApplication - Starting PaymentServiceApplication using Java 21.0.10 with PID 6669 (/Users/yashwanthpraveen/Desktop/yuno-payment-ms/yuno-payment-ms/payment-service/target/classes started by yashwanthpraveen in /Users/yashwanthpraveen/Desktop/yuno-payment-ms/yuno-payment-ms)
2026-05-23 05:04:31.655 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  c.y.p.PaymentServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-23 05:04:32.772 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a20c050-9ad8-333d-9cf0-0aac037b3ed7
2026-05-23 05:04:33.142 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-05-23 05:04:33.151 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-23 05:04:33.151 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-05-23 05:04:33.180 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-23 05:04:33.180 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1476 ms
2026-05-23 05:04:33.788 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  com.zaxxer.hikari.HikariDataSource - PaymentHikariPool - Starting...
2026-05-23 05:04:33.863 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  com.zaxxer.hikari.pool.HikariPool - PaymentHikariPool - Added connection org.postgresql.jdbc.PgConnection@6e7e0259
2026-05-23 05:04:33.865 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  com.zaxxer.hikari.HikariDataSource - PaymentHikariPool - Start completed.
2026-05-23 05:04:33.883 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/yuno_payment_db (PostgreSQL 13.7)
2026-05-23 05:04:33.913 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Schema history table "public"."flyway_schema_history" does not exist yet
2026-05-23 05:04:33.916 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.f.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.012s)
2026-05-23 05:04:33.939 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table "public"."flyway_schema_history" ...
2026-05-23 05:04:34.000 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": << Empty Schema >>
2026-05-23 05:04:34.018 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "public" to version "1 - create payments table"
2026-05-23 05:04:34.079 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 1 migration to schema "public", now at version v1 (execution time 00:00.048s)
2026-05-23 05:04:34.857 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-05-23 05:04:34.940 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-05-23 05:04:35.007 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  o.s.k.c.DefaultKafkaConsumerFactory$ExtendedKafkaConsumer - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Subscribed to topic(s): payment.result
2026-05-23 05:04:35.062 [main] [trxId=] [corrId=] [userId=] [svc=] INFO  c.y.p.PaymentServiceApplication - Started PaymentServiceApplication in 3.879 seconds (process running for 4.542)
2026-05-23 05:04:35.119 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:35.119 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:35.220 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:35.220 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:35.374 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:35.374 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:35.578 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:35.578 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:36.037 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:36.037 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:36.912 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-05-23 05:04:36.914 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-05-23 05:04:37.998 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] [trxId=] [corrId=] [userId=] [svc=] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-service-group-1, groupId=payment-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
